,Trips,Fare amount (avg),Fare amount (std),Tip amount (avg),Tip amount (std),Total amount (avg),Total amount (std)
2016-07-07,39134.0,12.200816936679105,10.514444662767172,1.2422341186691912,2.3713117741223853,14.777363673529141,11.87383867244324
2016-07-08,45842.0,12.352007983944855,10.208081218465894,1.2777551153963702,2.6301821963763747,15.009104532963569,11.690564506583838
2016-07-09,52710.0,12.346073420603304,10.296006755647756,1.2931075697211252,2.2634332564571698,14.830063745025873,12.238096908428085
2016-07-10,44746.0,12.473212577660576,10.085746086203024,1.3092989317481047,2.430876945567716,14.945030840748107,11.462104356782953
2016-07-11,34316.0,12.329396200023314,10.974965462115293,1.2167265998368184,2.696687873012174,14.868616971669386,12.347231307721724
2016-07-12,34946.0,12.480198019801975,12.607699054807085,1.2561912665254995,2.7665447744019933,15.050589194752126,13.915114095096225
2016-07-13,38870.0,12.417787754051965,11.959713843806488,1.2823540005145369,2.5882711243864103,15.031827887829122,13.182811124794107
2016-07-14,42025.0,12.429505056513975,10.639792137318256,1.3260352171326677,2.9025009237079216,15.098737180250552,12.343984824129196
2016-07-15,48453.0,12.748932573834438,11.543351808608612,1.3242740387592218,2.5674436208514813,15.43700575816272,13.032453032328052
2016-07-16,56296.0,12.692348301833176,10.494604626651038,1.315738595992634,2.754536727568594,15.166554995034733,12.009927977006686
2016-07-17,48064.0,12.450010402796273,10.015507354616137,1.2919829810253118,2.5722106989326416,14.895007281961622,11.440832355867176
2016-07-18,37181.0,12.275978860170515,10.230881071868096,1.2514025981011885,2.4549737635098783,14.85996342217422,11.873589567098696
2016-07-19,35325.0,12.549761358811034,12.107987602315738,1.2785893842887524,2.690554487573172,15.158849539980853,13.462730272627388
2016-07-20,37829.0,12.463765629543474,10.497656544839908,1.3171368526791682,2.554427144839018,15.121057918525405,12.145400866345813
2016-07-21,41383.0,12.666424618804822,10.516104521556716,1.3423838291085863,2.8615898518125484,15.353752023778537,12.173251182638438
2016-07-22,48816.0,12.555107341855129,11.94783725285712,1.3127824893477629,2.461565268216999,15.259002990827605,13.284979322344384
2016-07-23,54436.0,12.711447204056132,10.798176748205798,1.3065710191785014,2.5629393981373845,15.210310272621093,12.434776115459409
2016-07-24,46205.0,12.711092955307867,10.333422136282561,1.3100989070447016,2.2651050922343883,15.219269126721946,11.725082682364675
2016-07-25,37987.0,12.297163503303766,14.664952014128602,1.2642238134098545,2.2172006906157926,14.931319661986802,15.670405296353106
2016-07-26,36576.0,12.556509459755027,10.987506996351742,1.3264536854768283,2.6138689154153596,15.23172380795782,12.622125753517432
2016-07-27,38636.0,12.249880681229945,10.200833149526686,1.310399109638689,2.636846487889351,14.907861579871135,11.844812510851051
2016-07-28,42979.0,12.375234649479976,10.257496750907755,1.2924181577049298,2.3904188989529236,15.019349449732545,11.881518376020393
2016-07-29,47642.0,12.520295327652073,11.056156041685544,1.2980739683472735,2.6216741807299933,15.198935183246252,12.610140772026856
2016-07-30,56753.0,12.474572093105216,11.126887314873958,1.2539204975948561,2.769248277321477,14.882379786098447,12.483872166756024
2016-07-31,44732.0,12.434771304658856,10.133749335866826,1.2773770455155318,2.4224355906405743,14.88206965930688,11.521600273875274
2016-08-01,35850.0,12.288746722454624,10.211963015493916,1.1941196652719728,2.3056570846390825,14.82596959553167,11.726327098999805
2016-08-02,37003.0,12.321730670486176,10.921630936670446,1.2277518039077968,2.385086609546031,14.878669567328267,12.319173811710767
2016-08-03,38862.0,12.382455354845344,10.050570073362683,1.274935669805986,2.9358750311153514,14.979562811999068,11.74793222370198
2016-08-04,41787.0,12.53327111302558,10.0638080284737,1.3026857635149778,2.577589833627536,15.192128891760747,11.961809480721355
2016-08-05,46396.0,12.35315803086473,10.072048157091936,1.2440152168290526,2.9084567247196413,14.959676480734355,11.854525357632749
2016-08-06,52693.0,12.48341088949196,11.156741808905053,1.2228772322699537,2.3358506338074214,14.855681589591342,12.42873379314464
2016-08-07,44964.0,12.521295258428964,9.91133261562485,1.2171675117872198,2.269998313611344,14.902224668626287,11.282691306127452
2016-08-08,33379.0,12.266614637946017,14.634483537260842,1.169408909793593,2.3525117274560468,14.764825489074262,15.70639042916382
